Segundo,Corrente,Impedancia
1.46,0.0382369093338439,249.06720483388983
2.93,0.0483331207433441,234.77453151625687
4.56,0.1077609058198516,185.3177205255458
6.7,0.1502468131162241,172.77962076738876
8.18,0.1643087075590333,169.6610089651851
10.27,0.1665322154000568,168.26114821899014
12.23,0.1674468356255063,167.7184963198957
13.84,0.1681743071941211,169.5518922848308
15.98,0.1693638883774911,167.0045529239827
17.64,0.1698713992697311,166.73088544271263
19.12,0.1708062967766288,166.55544624612855
20.59,0.1713051212838494,165.87512116255408
22.05,0.1720978930775459,165.42370551725205
23.52,0.1723718344221787,165.47507890176655
25.52,0.1728726493297995,164.79104542750238
27.56,0.1737178033058137,163.89718846760087
28.98,0.1736897935008457,163.94597535154392
30.42,0.1745846244750977,163.24281277530687
31.84,0.1747752973212191,163.5515342623809
33.69,0.1751673176369204,162.5695703313192
35.8,0.1762886450329508,161.867621260114
37.39,0.1761928024628534,161.08638493055625
39.54,0.1761191913904377,162.1767299227998
41.41,0.1764010517508417,160.56390520242434
43.56,0.1768131826351046,160.09369083289332
45.05,0.1774872807492872,160.54598240464767
46.53,0.1775009764133898,161.02948670069995
48.29,0.1777000225343004,159.11378394772422
50.57,0.1785032579241539,158.50768451357592
52.63,0.1784911278396734,160.55043648294898
54.18,0.1784905916921408,158.56517080002374
55.73,0.1795059528347964,157.84820063158824
57.29,0.1788560021961257,158.25034437850542
58.84,0.1794956744782433,157.07025211159365
0.0,0.1797598796565022,157.2048312632191
1.55,0.179584015940906,157.2516380392495
3.11,0.1796746782126003,156.97007840286236
1.82,0.0381608188294739,249.4384462084486
3.98,0.0424419873389908,293.4337230421657
6.05,0.0792972386598157,320.1370875810172
8.18,0.1182755542370347,317.853872263076
10.24,0.1249018499771025,318.928076709646
12.49,0.1251490662069591,318.56253519359933
14.03,0.123144903763506,332.6843054806772
16.2,0.0775108186873319,738.633934072502
17.8,0.0819717878449254,737.7706171546524
19.28,0.0381651568687111,249.35371769560768
21.49,0.2696833095803768,188.4245560461868
23.4,0.1915193087962816,192.5742027262137
24.92,0.1678776621928209,194.5170812363923
26.74,0.1633722319018914,195.03461660293016
28.86,0.1649730699060931,195.05989430728025
30.72,0.1661431615104907,192.8984246155605
32.85,0.1675374044603216,191.0912091029456
34.53,0.1685808292171889,190.70669053653543
36.69,0.1696565205306427,189.9242967177321
38.77,0.1646391774523502,189.59632376743747
40.78,0.1652384169427666,189.64981238335076
42.92,0.1659048921981561,187.7683546372858
44.62,0.1665893590927172,186.7831792890623
46.11,0.1670385069174805,186.67639156762837
48.15,0.1671634827978787,186.56045047519885
50.22,0.1678136076996142,185.8326833414692
51.7,0.1684724414605473,184.94356655802184
53.93,0.1691520500950367,183.7138384405461
55.73,0.1698732264748134,182.79239385534584
57.23,0.1699765280008491,182.81420216388065
58.77,0.1703713812047623,182.11074501026297
0.51,0.1710229831276162,181.18252931403745
2.7,0.1714570590114429,180.57608611088068
4.29,0.1718401344841299,180.29934739683569
5.84,0.0382409057719186,249.1804357616639
7.38,0.2478825703845283,201.092780938575
9.17,0.1715678485963907,203.2930577634472
11.37,0.1622177411302849,202.8796900255913
13.22,0.163075752166219,202.2522973415724
15.36,0.1640334065246792,201.6314756857109
17.51,0.1590500014364279,202.0425973036536
19.37,0.1596526741430353,201.4963559321717
20.87,0.1602395295475377,200.78363637425667
22.72,0.1607859131504121,200.3055304677589
24.96,0.1614615804464849,199.36097965207017
26.46,0.1621292785220379,198.5273459033441
27.96,0.162544006529114,197.82382036668636
29.46,0.1633059950554281,196.60416708277896
30.94,0.1636975495665669,196.0524713709449
32.46,0.1641536206640095,195.2127843618908
34.02,0.164332648406222,195.3810010616324
35.59,0.1647140077477984,194.43502561424737
37.13,0.1652394146999427,193.741570872805
38.94,0.1657650761734005,193.33863578274807
41.16,0.1662328367554015,192.4625219418986
42.71,0.1654306233248422,193.8763453353315
44.26,0.1662312414181072,192.97730768592464
45.79,0.1664178443814572,192.2469987202663
47.3,0.1670650552287954,191.60278734174452
49.5,0.1672659000538724,191.0827112134332
51.34,0.1674635979352092,190.43109112954355
53.22,0.1686895707009721,188.0257276223265
55.38,0.1686169932540176,188.05415331798451
56.93,0.1692739676030482,187.1969661196598
59.19,0.1691700715627574,187.282592841924
1.01,0.169796809090873,185.8656883609212
2.48,0.1702620864567686,185.88986345091345
4.0,0.1701790415011441,185.36342311806527
5.51,0.1702744111476171,185.10440651436653
7.03,0.1702718614403989,185.66768754259564
8.59,0.1704103041447653,184.78281410485667
